tahun,topic_id,n_docs,n_total,proporsi,label_topik
2017,102,2,1320,0.0015151515151515152,Topik_102
2017,103,3,1320,0.0022727272727272726,Topik_103
2017,104,6,1320,0.004545454545454545,Topik_104
2017,105,13,1320,0.009848484848484848,Topik_105
2018,0,76,1120,0.06785714285714285,Topik_0
2018,1,55,1120,0.049107142857142856,Topik_1
2018,2,68,1120,0.060714285714285714,Topik_2
2018,3,33,1120,0.029464285714285714,Topik_3
2018,4,21,1120,0.01875,Topik_4
2018,5,29,1120,0.025892857142857145,Topik_5
2018,6,22,1120,0.019642857142857142,Topik_6
2018,7,19,1120,0.016964285714285713,Topik_7
2018,8,8,1120,0.007142857142857143,Topik_8
2018,9,27,1120,0.024107142857142858,Topik_9
2018,10,11,1120,0.009821428571428571,Topik_10
2018,11,20,1120,0.017857142857142856,Topik_11
2018,12,22,1120,0.019642857142857142,Topik_12
2018,13,11,1120,0.009821428571428571,Topik_13
2018,14,26,1120,0.023214285714285715,Topik_14
2018,15,17,1120,0.015178571428571428,Topik_15
2018,16,14,1120,0.0125,Topik_16
2018,17,13,1120,0.011607142857142858,Topik_17
2018,18,6,1120,0.005357142857142857,Topik_18
2018,19,13,1120,0.011607142857142858,Topik_19
2018,20,15,1120,0.013392857142857142,Topik_20
2018,21,19,1120,0.016964285714285713,Topik_21
2018,22,1,1120,0.0008928571428571428,Topik_22
2018,24,2,1120,0.0017857142857142857,Topik_24
2018,25,6,1120,0.005357142857142857,Topik_25
2018,26,7,1120,0.00625,Topik_26
2018,27,19,1120,0.016964285714285713,Topik_27
2018,28,2,1120,0.0017857142857142857,Topik_28
2018,29,8,1120,0.007142857142857143,Topik_29
2018,30,8,1120,0.007142857142857143,Topik_30
2018,31,6,1120,0.005357142857142857,Topik_31
2018,32,9,1120,0.008035714285714285,Topik_32
2018,33,14,1120,0.0125,Topik_33
2018,34,25,1120,0.022321428571428572,Topik_34
2018,35,6,1120,0.005357142857142857,Topik_35
2018,36,24,1120,0.02142857142857143,Topik_36
2018,37,5,1120,0.004464285714285714,Topik_37
2018,38,15,1120,0.013392857142857142,Topik_38
2018,39,8,1120,0.007142857142857143,Topik_39
2018,40,29,1120,0.025892857142857145,Topik_40
2018,41,9,1120,0.008035714285714285,Topik_41
2018,42,13,1120,0.011607142857142858,Topik_42
2018,43,15,1120,0.013392857142857142,Topik_43
2018,44,3,1120,0.0026785714285714286,Topik_44
2018,45,2,1120,0.0017857142857142857,Topik_45
2018,46,9,1120,0.008035714285714285,Topik_46
2018,47,10,1120,0.008928571428571428,Topik_47
2018,48,6,1120,0.005357142857142857,Topik_48
2018,49,17,1120,0.015178571428571428,Topik_49
2018,50,5,1120,0.004464285714285714,Topik_50
2018,51,6,1120,0.005357142857142857,Topik_51
2018,52,5,1120,0.004464285714285714,Topik_52
2018,53,4,1120,0.0035714285714285713,Topik_53
